id,url,keyword,content,author,postdate,source,num_likes
0,JP3A8AD-BN4,삼성톡스앤필,"<a href=""http://www.youtube.com/results?search_query=%23%EC%95%A0%EA%B5%90%ED%95%84%EB%9F%AC"">#애교필러</a> <a href=""http://www.youtube.com/results?search_query=%23%EB%82%A8%EC%B9%9C%EB%A5%BC_%EB%B6%80%EB%A5%B4%EB%8A%94_%EA%B4%80%EC%83%81%EC%9D%B4_%EB%90%9C%EB%8B%A4%EA%B5%AC"">#남친를_부르는_관상이_된다구</a>!안녕 토리들~필러 시술은 하고 싶지만~ 고민만 한다면~이 영상을 꼭 봐야돼! 그 이유는!!필러로 얼마나 사랑스러운 인상으로 바뀌는지.... 확실히 알 수 있거든! 글구, 애교필러 하면~남친 생길 수 있는 확률이 더 생기는 거 앎??ㅋㅋㅋㅋㅋㅋㅋ(그 만큼 진짜 웃을 때 사랑스럽게 보여!!)바로 우리 회사 안미정 프로가 애교필러를 간절히 원하던 이유야!그럼 풀페이스 시술 과정 한 번 알아보면서~남친 생기는 애교필러로 한 번 더 깊게 알아볼까?<a href=""https://www.youtube.com/watch?v=JP3A8AD-BN4&amp;t=0m00s"">0:00</a> 조금 긴 수다 - 오프닝 <a href=""https://www.youtube.com/watch?v=JP3A8AD-BN4&amp;t=0m55s"">0:55</a> 풀페이스 확정! (남친가자!)  <a href=""https://www.youtube.com/watch?v=JP3A8AD-BN4&amp;t=2m07s"">2:07</a> 이마필러<a href=""https://www.youtube.com/watch?v=JP3A8AD-BN4&amp;t=3m27s"">3:27</a> 애교필러<a href=""https://www.youtube.com/watch?v=JP3A8AD-BN4&amp;t=7m04s"">7:04</a> 풀페이스 시술 현장으로~~<a href=""https://www.youtube.com/watch?v=JP3A8AD-BN4&amp;t=9m08s"">9:08</a> 진정 네추럴한 현장 속에서 마무리~~제로핏 창시자 김태영 원장님이 궁금하면 아래 영상 클릭! <a href=""http://www.toxnfill3.com/"">http://www.toxnfill3.com/</a>댓글 2개",쁘띠팩토리,20210616T08:03:04Z,Youtube,2
1,JP3A8AD-BN4,삼성톡스앤필,필러가 답인것인가~~~~,정세형,20210701T03:22:52Z,Youtube,1
2,J9h6ABLVVxU,삼성톡스앤필,이벤트 피코토닝을 한번 해보았는데 재생라인까지 확실히해주셔서 잘받았고 앞으로 계속 다닐거갔아요   홍대주변에 다른곳에서도 받아보았지만  차별화되게 재생까지해주셔서대단히 만족스럽습니다 Ldm도 다른곳보다 구성이 만족스럽네요..~,오미혜,20210712T02:32:59Z,Youtube,0
3,J9h6ABLVVxU,삼성톡스앤필,삼성점과 홍대점을 비교할 수 있어서 좋아요 ㅎㅎㅎ,황선아,20210608T10:41:01Z,Youtube,0
4,J9h6ABLVVxU,삼성톡스앤필,재밌네요 ㅎㅎㅎㅎ 울쎄라 리쥬란힐러 받고싶네요,김이선,20210607T11:06:20Z,Youtube,0
5,aECI_tLwkWA,삼성톡스앤필,원장님 !!! 팔자주름 6월 행사 홈~페 여기저기 둘러봐도 쥬비덤 행사는 없는것 같아요 ~ 👍🤩,상상인,20210603T09:47:20Z,Youtube,0
6,hK5IW3j8Jyc,삼성톡스앤필,"톡스앤필 삼성점 <a href=""http://www.toxnfill3.com/"">http://www.toxnfill3.com/</a>",정콘TV,20210406T07:56:31Z,Youtube,0
7,XX8nPNCpyFg,삼성톡스앤필,진짜 요즘에는 남자들도 피부관리 신경쓰는사람이 많던데 제동생도 관리 좀 하라고해야겠어요,그림자,20210221T11:30:53Z,Youtube,0
8,XX8nPNCpyFg,삼성톡스앤필,외모땜에 고민이 많은데 원장님이 꼼꼼하게 설명해주시고 무료상담이라니 받아봐야겠음,ko ko,20210108T00:41:52Z,Youtube,0
9,XX8nPNCpyFg,삼성톡스앤필,안녕 토리 친구~^^ 삼성점은 한 때는 아이돌 같은 외모의 소유자!! 우리 시사남 대표원장님께 상담 받으려면~~ 상담비가 (비보험진료비 2만원)발생하니 기억 하도록!!  그 만큼의 값어치는 있으니 걱정말고 방문해봐!!,쁘띠팩토리,20210112T02:55:04Z,Youtube,0
10,XX8nPNCpyFg,삼성톡스앤필,요즘 남성들도 많이 시술받고 관리하더군요. 저도 보톡스 상담받아보고싶네요 ㅎㅎ,A ha,20210108T00:24:07Z,Youtube,1
11,XX8nPNCpyFg,삼성톡스앤필,원장님이 인상도 좋으시고 친절하게 상담해주시네여~ 저도 시술문의 해보고싶네여^^,jin jin,20210108T00:12:00Z,Youtube,0
12,XX8nPNCpyFg,삼성톡스앤필,관리하면 자신감도 생기고 다른 장점들도 많을 것 같아서 받을거라면 젊었을 때 시작하는게 좋은 것 같아요. 상담 받으러 방문해야겠어요.,그리즐리베어,20210107T14:50:45Z,Youtube,1
13,XX8nPNCpyFg,삼성톡스앤필,나이드니피부가망가진단느낌을진짜계속느끼는거같아요  피부관리해서피부꿀피부만들고싶내요   상담도잘받아서피부고민덜고싶내요,김지영,20210107T13:23:07Z,Youtube,1
14,XX8nPNCpyFg,삼성톡스앤필,인테리어 넘 이뻐요~상담도 꼼꼼하게 잘해주시고 저도방문해서 상담 받아봐야 겠어요~,변영아,20210107T11:28:35Z,Youtube,1
15,XX8nPNCpyFg,삼성톡스앤필,저도 검증완료된 울쎄라 받아보고 싶네요 ㅎㅎ.상담도 잘해주시고 병원 시설도 넘 좋네요.,even9,20210107T11:22:22Z,Youtube,1
16,XX8nPNCpyFg,삼성톡스앤필,남자도 관리는 필수인 시대이죠 우리모두이뻐집시다,이연림,20210107T11:18:05Z,Youtube,1
17,XX8nPNCpyFg,삼성톡스앤필,편안하게 상담을 받을수 있는것 같아 좋아 보입니다.,김진한,20210107T10:53:29Z,Youtube,1
18,XX8nPNCpyFg,삼성톡스앤필,요즘 남자들도 외모에 관심이 많죠.. 그럴수록 제대로 상담을 받는게 현명하다고 생각해요 ^^,노애라,20210107T10:53:15Z,Youtube,0
19,XX8nPNCpyFg,삼성톡스앤필,재미있는 영상이네요.무료상담해주신다니 저도 체크받아봐야겠어요,손길,20210107T10:51:41Z,Youtube,0
20,XX8nPNCpyFg,삼성톡스앤필,무료 노노 !! 우리 시사남 대표원장님께 상담 받으려면~~ 상담비가 (비보험진료비 2만원)발생하니 기억 하도록!!  그 만큼의 값어치는 있으니 걱정말고 방문해봐!!,쁘띠팩토리,20210112T02:56:54Z,Youtube,0
21,XX8nPNCpyFg,삼성톡스앤필,남자도 관리받는시대라 무료로 상담까지 해주신다니 이번에 상담받아보자,기운,20210107T10:49:56Z,Youtube,0
22,XX8nPNCpyFg,삼성톡스앤필,상담받고 생각해도 늦지않겠네요.무료상담이라 더욱 좋네요,홍광,20210107T10:17:40Z,Youtube,0
23,XX8nPNCpyFg,삼성톡스앤필,안녕 토리 친구~^^ 삼성점은 한 때는 아이돌 같은 외모의 소유자!! 우리 시사남 대표원장님께 상담 받으려면~~ 상담비가 (비보험진료비 2만원)발생하니 기억 하도록!!  그 만큼의 값어치는 있으니 걱정말고 방문해봐!!,쁘띠팩토리,20210112T02:56:34Z,Youtube,0
24,XX8nPNCpyFg,삼성톡스앤필,이제는 관리받는 남자들도 많은 것 같아요. 친절하고 자세한 상담에 믿음이 가서 알아봐야겠다는 생각이 들어요.,수와망이,20210107T10:03:11Z,Youtube,0
25,XX8nPNCpyFg,삼성톡스앤필,pd님 공짜시술받으시다니 부러워요 저두공짜시술받아보고싶네요,정현숙,20210107T10:00:16Z,Youtube,0
26,XX8nPNCpyFg,삼성톡스앤필,공짜시술 노노 협찬 ^^,쁘띠팩토리,20210112T02:55:54Z,Youtube,0
27,XX8nPNCpyFg,삼성톡스앤필,상담도 편하게 해주시니 부담없이 상담받을 수 있을거 같아 좋네요,정석,20210107T09:55:22Z,Youtube,0
28,XX8nPNCpyFg,삼성톡스앤필,남자들도 관리받는분들 점점늘고 있어요.영상많은 도움되네요,박뢰,20210107T09:53:13Z,Youtube,0
29,XX8nPNCpyFg,삼성톡스앤필,상담을 무료로  해주신다니 시간내서 꼭 한번 들려야겠네요ㅎㅎ,손성,20210107T09:47:27Z,Youtube,0
30,XX8nPNCpyFg,삼성톡스앤필,친절하게 상담해주시니 부담없이 한번 상담받아보고 싶네요. 나이가 드니까 여기저기 고민되는 부분이 자꾸 많이 생기는데. ㅎㅎㅎ,라브라바J,20210107T09:22:06Z,Youtube,1
31,XX8nPNCpyFg,삼성톡스앤필,상담 엄청 친절히 잘해주시네요 ㅋㅋ쪽집게처럼..!저도 상담받고싶어요!!긋굿,JW H,20210107T09:17:14Z,Youtube,0
32,XX8nPNCpyFg,삼성톡스앤필,안녕 토리친구~ 삼성점은 다른 원장님도 상담을 잘해주시만! 우리 시사남 원장님께 상담을 받으면~~ 상담비가 (비보험진료비 2만원)발생하니 기억하도록!! 하지만 그만큼의 값어치는 있다우!,쁘띠팩토리,20210112T02:52:13Z,Youtube,0
