id,url,keyword,content,author,postdate,source,num_likes
0,a571R2oMVXg,생기한의원,영상 잘 봤습니다~~,쩡스쩡스,20210914T03:10:01Z,Youtube,1
1,RyzJmO3Em4Q,생기한의원,발바닥에 있다고 다 티눈이 아니었네요,쩡스쩡스,20210828T02:36:43Z,Youtube,1
2,8HnjiD4rj-Y,생기한의원,아토피에 대해 잘 알려주셔서 감사합니다~~,쩡스쩡스,20210828T02:32:11Z,Youtube,1
3,ZN--RtoEPEQ,생기한의원,면역력의 놀라움! 대단해요,YoonJi Kim,20210730T04:50:29Z,Youtube,1
4,ZN--RtoEPEQ,생기한의원,그쵸!ㅎㅎ 영상 시청해주셔서 감사드리며 다음 영상에서도 만나용~!,생기TV,20210730T09:22:44Z,Youtube,0
5,ZN--RtoEPEQ,생기한의원,와!! 신기하네요 ㅎㅎ,JD,20210729T11:30:34Z,Youtube,0
6,ZN--RtoEPEQ,생기한의원,영상 시청해주셔서 감사드립니다~! 😃,생기TV,20210730T00:50:42Z,Youtube,0
7,ZN--RtoEPEQ,생기한의원,이렇게 확 바뀔수있는게 신기하네요ㅎㅎ다 괜찮아지셔서 다행이에요!,Danung,20210729T07:50:31Z,Youtube,0
8,ZN--RtoEPEQ,생기한의원,네 맞아요! 꾸준히 관리하고 치료 받으시면 피부질환도 나을 수 있어요! 영상 시청해주셔서 감사합니다😁,생기TV,20210730T00:48:04Z,Youtube,0
9,124s1UdFFNY,생기한의원,"<a href=""https://pf.kakao.com/_KHxlxgd/chat"">https://pf.kakao.com/_KHxlxgd/chat</a>다한증, 카톡으로 편하게 물어보세요!<a href=""https://www.youtube.com/watch?v=124s1UdFFNY&amp;t=0m15s"">0:15</a> 다한증, 땀 흘리는 운동 괜찮을까?<a href=""https://www.youtube.com/watch?v=124s1UdFFNY&amp;t=1m02s"">1:02</a> 다한증 완화 꿀TIP <a href=""https://www.youtube.com/watch?v=124s1UdFFNY&amp;t=1m46s"">1:46</a> 다한증 생활관리방법",생기TV,20210608T03:03:26Z,Youtube,1
10,124s1UdFFNY,생기한의원,문제는 전체적으로 땀이 많이남,이JY,20210712T02:04:46Z,Youtube,0
11,124s1UdFFNY,생기한의원,전신다한증의 경우 전체적으로 땀이 많이 날 수 있습니다. 영상 시청해주셔서 감사드립니다~,생기TV,20210714T07:08:23Z,Youtube,0
12,124s1UdFFNY,생기한의원,건강한 생활습관으로 개선하는 다한증 증상!! 다한증 환자분들에겐 꿀팁 영상이네요~~~^^,고마토,20210610T06:47:12Z,Youtube,1
13,124s1UdFFNY,생기한의원,맞아요!시청해주셔서 감사드립니다! 다음 영상에서도 뵐게요 :),생기TV,20210610T08:07:11Z,Youtube,0
14,124s1UdFFNY,생기한의원,넘 잘 설명해주셔서 이해가 쏙쏙 되네요👍,유옥희,20210610T03:00:43Z,Youtube,1
15,124s1UdFFNY,생기한의원,도움 드릴 수 있어서 기쁩니다! 다음 영상도 기대해주세요! :),생기TV,20210610T08:06:08Z,Youtube,0
16,124s1UdFFNY,생기한의원,운동+반신욕 완전 꿀팁이네요!,YoonJi Kim,20210609T07:16:37Z,Youtube,0
