id,url,keyword,content,author,postdate,source,num_likes
0,ruTGbA9sNyM,서울대병원,찬원이  아프면  우리도아파요재발건강돌보세요,장영자,20211110T22:51:40Z,Youtube,0
1,ruTGbA9sNyM,서울대병원,찬원씨  제발건강좀 생각하세요,장영자,20211110T22:49:29Z,Youtube,0
2,ruTGbA9sNyM,서울대병원,이찬원도일정도피곤한데 이찬원 힘들게하지안았으면영탁도힘들겠지만,윤명자,20211110T14:17:06Z,Youtube,1
3,ruTGbA9sNyM,서울대병원,썸네일 내려라.신고들어간다.신고..,유승이,20211110T13:09:31Z,Youtube,0
4,ruTGbA9sNyM,서울대병원,이여자는 매일 말도 안되는 소리 지꺼리냐 보기싫어,김 정말 좋아요 노래도 잘하고 울지마세요영애,20211110T12:50:43Z,Youtube,0
5,ruTGbA9sNyM,서울대병원,이찬원연결시키지마,이덕순,20211110T12:11:59Z,Youtube,0
6,FwR4x9Rqwac,서울대병원,"* 타인을 비방하거나 욕설, 비속어, 차별적 내용, 신체적 비하 등의 불쾌감을 줄 수 있는 댓글은 무통보 삭제될 수 있습니다.* 단순 비난, 허위 사실 유포,  광고 등의 댓글은 무통보 삭제될 수 있습니다. * 의학적 질문에 답변을 드리지 않습니다.* 제공된 의학정보는 일반적인 사항으로 개개인의 특성을 반영하지 못합니다.",서울대병원tv,20211110T07:52:13Z,Youtube,0
7,FwR4x9Rqwac,서울대병원,유용한 정보 감사합니다~,Heejung Kim,20211111T00:11:26Z,Youtube,0
8,FwR4x9Rqwac,서울대병원,"함께, 같이 라는 키워드가  진정 어울리는 간이식 팀 최고입니다!!!^^",Mimi Lee,20211110T11:43:53Z,Youtube,0
9,FwR4x9Rqwac,서울대병원,푸하하! 간떨어짐. 어벤져스 교수님들 덕분에 딱딱한 주제를 유쾌하게 들을 수 있었슴다!!!,jh i,20211110T08:06:37Z,Youtube,1
10,FwR4x9Rqwac,서울대병원,외과의 꽃🌷 설명 잘 들었습니다 ㅎㅎ,lee승연,20211110T07:59:23Z,Youtube,0
