id,url,keyword,content,author,postdate,source,num_likes
0,kbpaqHC-4y4,순천오병원,B1층 자진생략,YJ튜브,20201124T08:54:30Z,Youtube,0
1,kbpaqHC-4y4,순천오병원,오티스엘리베이터서 현대도착음이?,코카쿠라Kokakura,20200603T07:11:47Z,Youtube,0
2,kbpaqHC-4y4,순천오병원,현대엘리베이터 아님,댓글러,20200316T13:18:18Z,Youtube,0
3,kbpaqHC-4y4,순천오병원,90m/min,YT 징징이 & squidward picture,20191115T09:40:17Z,Youtube,0
4,kbpaqHC-4y4,순천오병원,알림이현대네...,정보교,20190619T09:13:22Z,Youtube,0
5,kbpaqHC-4y4,순천오병원,버튼 바꾸기전:조례주공7차와 동일,YT 징징이 & squidward picture,20190210T05:18:37Z,Youtube,0
6,kbpaqHC-4y4,순천오병원,류제건님근데B1층은아눌러요???,정정임정임,20170121T09:28:37Z,Youtube,1
7,kbpaqHC-4y4,순천오병원,침대용 형식 입니다.,2 3DMAZE,20170101T01:20:24Z,Youtube,2
8,kbpaqHC-4y4,순천오병원,이건 장애인용 이라서 그런거예요,심복순,20160206T00:15:10Z,Youtube,2
9,kbpaqHC-4y4,순천오병원,이거 완전 사기예요,심복순,20151208T09:30:05Z,Youtube,2
10,kbpaqHC-4y4,순천오병원,@기사군 아마 알림음 배낀걸 말한듯 합니다.,tuns382,20210516T06:38:18Z,Youtube,0
11,kbpaqHC-4y4,순천오병원,뭐가 사기에요?,기사군,20151218T09:48:29Z,Youtube,2
