id,url,keyword,content,author,postdate,source,num_likes
0,TW-stAv_LWA,아이디병원,"💌 카톡 간편 상담  <a href=""https://pf.kakao.com/_yxlxmxhE"">https://pf.kakao.com/_yxlxmxhE</a>📞 전화 상담 문의  02-547-0050💛 아이디올  <a href=""https://bit.ly/3ExWx3h"">https://bit.ly/3ExWx3h</a> 미니리프팅79 이벤트 <a href=""https://bit.ly/319W2hu"">https://bit.ly/319W2hu</a>",아이디병원 - Beauty Wonderland,20211102T06:23:06Z,Youtube,1
1,TW-stAv_LWA,아이디병원,리프팅은 아이디올,c로로,20211102T06:20:51Z,Youtube,0
2,TW-stAv_LWA,아이디병원,너무 좋네요~,정일교,20211102T06:18:59Z,Youtube,0
3,tHcr2fnt0nk,아이디병원,"💌 카톡 간편 상담  <a href=""https://pf.kakao.com/_yxlxmxhE"">https://pf.kakao.com/_yxlxmxhE</a>📞 전화 상담 문의  02-547-0050💛 아이디올 <a href=""https://bit.ly/3FNgbts"">https://bit.ly/3FNgbts</a> 미니리프팅79 이벤트 <a href=""https://bit.ly/2XwfWBU"">https://bit.ly/2XwfWBU</a>",아이디병원 - Beauty Wonderland,20211027T07:30:44Z,Youtube,2
4,tHcr2fnt0nk,아이디병원,아이디병원 리프팅잘하는곳아닌가요,c로로,20211027T06:32:19Z,Youtube,2
5,nJoBK4AEFB4,아이디병원,리프팅효과대박이네요 ㄷㄷ,꺼야꺼야할꺼야,20211026T08:09:54Z,Youtube,2
6,nJoBK4AEFB4,아이디병원,오와 👏👏👏리프팅은 아이디!,c로로,20211026T07:55:14Z,Youtube,2
7,xpXErAdIhgo,아이디병원,"💌 카톡 간편 상담  <a href=""https://pf.kakao.com/_yxlxmxhE"">https://pf.kakao.com/_yxlxmxhE</a>📞 전화 상담 문의  02-547-0050💛 아이디올 <a href=""https://bit.ly/3FNgbts"">https://bit.ly/3FNgbts</a> 미니리프팅79 이벤트 <a href=""https://bit.ly/2XwfWBU"">https://bit.ly/2XwfWBU</a>",아이디병원 - Beauty Wonderland,20211022T07:51:31Z,Youtube,0
8,Ecywl7VpmEg,아이디병원,"💌 카톡 간편 상담  <a href=""https://pf.kakao.com/_yxlxmxhE"">https://pf.kakao.com/_yxlxmxhE</a>📞 전화 상담 문의  02-547-0050💛 아이디올 <a href=""https://bit.ly/3FNgbts"">https://bit.ly/3FNgbts</a> 미니리프팅79 이벤트 <a href=""https://bit.ly/2XwfWBU"">https://bit.ly/2XwfWBU</a>",아이디병원 - Beauty Wonderland,20211022T02:53:18Z,Youtube,0
9,Ecywl7VpmEg,아이디병원,오와 👍👍👍👍,c로로,20211022T02:35:36Z,Youtube,0
10,zcESd1fTeNc,아이디병원,"💌 카톡 간편 상담  <a href=""https://pf.kakao.com/_yxlxmxhE"">https://pf.kakao.com/_yxlxmxhE</a>📞 전화 상담 문의  02-547-0050💛 아이디올 <a href=""https://bit.ly/3FNgbts"">https://bit.ly/3FNgbts</a> 미니리프팅79 이벤트 <a href=""https://bit.ly/2XwfWBU"">https://bit.ly/2XwfWBU</a>",아이디병원 - Beauty Wonderland,20211022T02:52:59Z,Youtube,0
11,zcESd1fTeNc,아이디병원,P,최열홍,20211101T00:03:36Z,Youtube,0
12,LJFHk-5wa_c,아이디병원,ㅇ,이경순,20211026T18:46:16Z,Youtube,0
13,LJFHk-5wa_c,아이디병원,원장님 존경합니다 ♡,LK491709,20211014T16:13:08Z,Youtube,1
14,ppsyZUo0Eug,아이디병원,전화 번호 부탁해요,배미숙,20211103T11:27:36Z,Youtube,0
15,ppsyZUo0Eug,아이디병원,"안녕하세요~! 아이디병원 대표번호는 02-547-0050 입니다.   ○ 카카오톡 상담 → <a href=""https://pf.kakao.com/_yxlxmxhE"">https://pf.kakao.com/_yxlxmxhE</a>",아이디병원 - Beauty Wonderland,20211104T00:11:22Z,Youtube,0
16,ppsyZUo0Eug,아이디병원,미니리프팅비용은얼마나되나요,정현숙,20211018T14:54:10Z,Youtube,0
